State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,SUBDIVISION,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,3.1470588235294117,ANDAMAN & NICOBAR ISLANDS,2763.2,112.0,812.2,1244.2,594.7
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3.6144578313253013,ANDAMAN & NICOBAR ISLANDS,3080.9,104.7,878.7,1515.4,582.0
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84,2.7,ANDAMAN & NICOBAR ISLANDS,2620.2,10.7,478.4,1525.6,605.5
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17,1.7340384615384616,ANDAMAN & NICOBAR ISLANDS,2355.9,52.2,465.0,1406.1,432.5
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57,1.3707971288250849,ANDAMAN & NICOBAR ISLANDS,2460.1,90.4,583.2,1392.2,394.2
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0,2.857142857142857,ANDAMAN & NICOBAR ISLANDS,3157.1,109.8,332.2,1797.8,917.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0,2.956025605343724,ANDAMAN & NICOBAR ISLANDS,2763.2,112.0,812.2,1244.2,594.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0,2.781745215064828,ANDAMAN & NICOBAR ISLANDS,3080.9,104.7,878.7,1515.4,582.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62,2.771343536174372,ANDAMAN & NICOBAR ISLANDS,2404.7,30.7,534.0,1314.9,525.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118.0,2.9624503018701223,ANDAMAN & NICOBAR ISLANDS,3157.1,109.8,332.2,1797.8,917.3
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82,2.954507376727314,ANDAMAN & NICOBAR ISLANDS,2620.2,10.7,478.4,1525.6,605.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7,2.92697849633232,ANDAMAN & NICOBAR ISLANDS,2355.9,52.2,465.0,1406.1,432.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66,2.726054532961118,ANDAMAN & NICOBAR ISLANDS,2460.1,90.4,583.2,1392.2,394.2
